Country,Pop. Density (per sq. mi.),Net migration,Literacy (%),Deathrate
Andorra,152.1,6.6,100,6.25
Liechtenstein,212.4,4.85,100,7.18
Australia,2.6,3.98,100,7.51
Luxembourg,183.5,8.97,100,8.41
Norway,14.2,1.74,100,9.4
Finland,15.5,0.95,100,9.86
Denmark,126.5,2.48,100,10.36
Iceland,2.9,2.38,99.9,6.72
Czech Republic,129.8,0.97,99.9,10.59
Poland,123.3,-0.49,99.8,9.89
Estonia,29.3,-3.16,99.8,13.25
Latvia,35.2,-2.23,99.8,13.66
Samoa,60.1,-11.7,99.7,6.62
Slovenia,99.2,1.12,99.7,10.31
Ukraine,77.4,-0.39,99.7,14.39
Lithuania,55,-0.71,99.6,10.98
Belarus,49.6,2.54,99.6,14.02
Russia,8.4,1.02,99.6,14.65
Tajikistan,51.2,-2.86,99.4,8.25
Hungary,107.3,0.86,99.4,13.11
Uzbekistan,61,-1.72,99.3,7.84
Moldova,132,-0.26,99.1,12.64
Guam,316.1,0,99,4.48
St Pierre & Miquelon,29,-4.86,99,6.83
Korea. North,191.8,0,99,7.13
New Zealand,15.2,4.05,99,7.53
Switzerland,182.2,4.05,99,8.49
Netherlands,397.1,2.91,99,8.68
France,111.3,0.66,99,9.14
Japan,337.4,0,99,9.16
Georgia,66.9,-4.7,99,9.23
United Kingdom,247.6,2.19,99,10.13
Sweden,20,1.67,99,10.31
Germany,230.9,2.18,99,10.62
Monaco,16271.5,7.75,99,12.91
Guyana,3.6,-2.07,98.8,8.28
Montenegro,47,-1,98.8,10.4
Armenia,99.9,-6.47,98.6,8.23
Italy,193,2.07,98.6,10.4
Trinidad & Tobago,207.9,-10.83,98.6,10.57
Bulgaria,66.6,-4.58,98.6,14.27
Tonga,153.3,0,98.5,5.28
Croatia,79.5,1.58,98.5,11.48
Kazakhstan,5.6,-3.35,98.4,9.42
Romania,93.9,-0.13,98.4,11.77
Turks & Caicos Is,49.2,11.68,98,4.21
French Polynesia,65.9,2.94,98,4.69
Cayman Islands,173.4,18.75,98,4.89
Grenada,260.8,-13.92,98,6.88
Bermuda,1241,2.49,98,7.74
Ireland,57.8,4.99,98,7.82
Turkmenistan,10.3,-0.86,98,8.6
Uruguay,19.5,-0.32,98,9.05
Austria,97.7,2,98,9.76
Belgium,340,1.23,98,10.27
South Korea,496,0,97.9,5.85
Spain,80,0.99,97.9,9.72
British Virgin Is.,151,10.01,97.8,4.42
Mongolia,1.8,0,97.8,6.95
Martinique,396.5,-0.05,97.7,6.48
Cyprus,84.8,0.43,97.6,7.68
Greece,81,2.35,97.5,10.24
Barbados,649.5,-0.31,97.4,8.67
Maldives,1196.7,0,97.2,7.06
Argentina,14.4,0.61,97.1,7.55
N. Mariana Islands,172.9,9.61,97,2.29
American Samoa,290.4,-20.71,97,3.27
Saint Helena,18.2,0,97,6.53
Aruba,372.5,0,97,6.68
Kyrgyzstan,26.3,-2.45,97,7.08
Montserrat,92.5,0,97,7.1
Cuba,102.7,-1.58,97,7.22
Canada,3.3,5.96,97,7.8
United States,31,3.41,97,8.26
Saint Kitts & Nevis,149.9,-7.11,97,8.33
Azerbaijan,91.9,-4.9,97,9.75
Netherlands Antilles,231,-0.41,96.7,6.45
Chile,21.3,0,96.2,5.81
Taiwan,640.3,0,96.1,6.48
Costa Rica,79.8,0.51,96,4.36
Saint Vincent and the Grenadines,303,-7.64,96,5.98
San Marino,479.5,10.98,96,8.17
Bahamas. The,21.8,-2.2,95.6,9.05
Israel,305.8,0.68,95.4,6.18
Anguilla,132.1,10.76,95,5.34
Cook Islands,89.1,,95,
Macau,16183,4.86,94.5,4.47
Belize,12.5,0,94.1,5.72
Puerto Rico,284.8,-1.46,94.1,7.65
Paraguay,16,-0.08,94,4.49
Dominica,91.4,-13.87,94,6.73
Brunei,65.8,3.59,93.9,3.45
Marshall Islands,5.1,-6.04,93.7,4.78
Fiji,49.6,-3.14,93.7,5.65
Hong Kong,6355.7,5.24,93.5,6.29
Venezuela,28.2,-0.04,93.4,4.92
Portugal,114.8,3.57,93.3,10.5
Suriname,2.7,-8.81,93,7.27
Serbia,106.3,-1.33,93,13.6
Malta,1266.5,2.07,92.8,8.1
Panama,40.8,-0.91,92.6,5.36
Philippines,298.2,-1.5,92.6,5.41
Thailand,125.7,0,92.6,7.04
Ecuador,47.8,-8.58,92.5,4.23
Singapore,6482.2,11.53,92.5,4.28
Colombia,38.3,-0.31,92.5,5.58
Sri Lanka,308.2,-1.31,92.3,6.52
Mexico,54.5,-4.87,92.2,4.74
Palau,44.9,2.85,92,6.8
Jordan,64,6.59,91.3,2.65
New Caledonia,11.5,0,91,5.69
Peru,22,-1.05,90.9,6.23
China,136.9,-0.4,90.9,6.97
Zimbabwe,31.3,0,90.7,21.84
Vietnam,256.1,-0.45,90.3,6.22
Guadeloupe,254.4,-0.15,90,6.09
Bahrain,1050.5,1.05,89.1,4.14
Micronesia. Fed. St.,153.9,-20.99,89,4.75
Antigua & Barbuda,156,-6.15,89,5.37
Reunion,312.9,0,88.9,5.49
Malaysia,74,0,88.7,5.05
Indonesia,127.9,0,87.9,6.25
Jamaica,250.9,-4.92,87.9,6.52
Lebanon,372.5,0,87.4,6.21
Bolivia,8.2,-1.32,87.2,7.53
Albania,124.6,-4.93,86.5,5.22
Turkey,90.2,0,86.5,5.97
Brazil,22.1,-0.03,86.4,6.17
South Africa,36.2,-0.29,86.4,22
Equatorial Guinea,19.3,0,85.7,15.06
Mauritius,608.3,-0.9,85.6,6.86
Myanmar,69.8,-1.8,85.3,9.83
Kenya,59.6,-0.1,85.1,14.02
Lesotho,66.6,-0.74,84.8,28.71
Dominican Republic,188.5,-3.22,84.7,5.73
Namibia,2.5,0,84,18.86
Congo (Brazzaville),10.8,-0.17,83.8,12.93
Kuwait,135.7,14.18,83.5,2.41
French Guiana,2.2,6.27,83,4.88
Libya,3.4,0,82.6,3.48
Qatar,77.4,16.29,82.5,4.72
Swaziland,65.5,0,81.6,29.74
Zambia,15.3,0,80.6,19.93
El Salvador,324.3,-3.74,80.2,5.78
Botswana,2.7,0,79.8,29.5
Iran,41.7,-0.84,79.4,5.55
Sao Tome & Principe,193.2,-2.72,79.3,6.47
Cameroon,36.5,0,79,13.47
Saudi Arabia,13.8,-2.71,78.8,2.58
Tanzania,39.6,-2.06,78.2,16.39
United Arab Emirates,31.4,1.03,77.9,4.4
Syria,102,0,76.9,4.81
Cape Verde,104.4,-12.07,76.6,6.55
Honduras,65.4,-1.99,76.2,5.28
Oman,14.6,0.28,75.8,3.81
Ghana,93.6,-0.64,74.8,9.72
Tunisia,62.2,-0.57,74.2,5.13
Guatemala,112.9,-1.67,70.6,5.2
Rwanda,328.4,0,70.4,16.09
Algeria,13.8,-0.39,70,4.61
Uganda,119.5,0,69.9,12.24
Cambodia,76.7,0,69.4,9.06
Madagascar,31.7,0,68.9,11.11
Nigeria,142.7,0.26,68,16.94
Djibouti,21.2,0,67.9,19.31
Nicaragua,43,-1.22,67.5,4.45
Saint Lucia,273.5,-2.67,67,5.08
Laos,26.9,0,66.4,11.55
Congo (Kinshasa),26.7,0,65.5,13.27
Papua New Guinea,12.3,0,64.6,7.25
Gabon,5.3,0,63.2,12.25
Malawi,109.8,0,62.7,19.33
South Sudan,16.5,-0.02,61.1,8.97
Togo,97.7,0,60.9,9.83
India,333.2,-0.07,59.5,8.18
East Timor,70.8,0,58.6,6.24
Eritrea,39.5,0,58.6,9.6
Seychelles,179.2,-5.69,58,6.29
Egypt,78.8,-0.22,57.7,5.23
Liberia,27.3,0,57.5,23.1
Comoros,318.4,0,56.5,8.2
Vanuatu,17.1,0,53,7.82
Haiti,299.4,-3.4,52.9,12.17
Morocco,74.4,-0.98,51.7,5.58
Burundi,290.7,-0.06,51.6,13.46
Central African Republic,6.9,0,51,18.65
Ivory Coast,54.8,-0.07,50.9,14.84
Yemen,40.6,0,50.2,8.3
Wallis and Futuna,58.5,,50,
Mozambique,24.6,0,47.8,21.35
Chad,7.7,-0.11,47.5,16.38
Mali,9.5,-0.33,46.4,16.89
Pakistan,206.2,-2.77,45.7,8.23
Nepal,192.2,0,45.2,9.31
Bangladesh,1023.4,-0.71,43.1,8.27
Ethiopia,66.3,0,42.7,14.86
Guinea-Bissau,39.9,-1.57,42.4,16.53
Bhutan,48.5,0,42.2,12.7
Angola,9.7,0,42,24.2
Mauritania,3.1,0,41.7,12.16
Benin,69.8,0,40.9,12.22
Iraq,61.3,0,40.4,5.37
Senegal,61.1,0.2,40.2,9.42
Gambia,145.3,1.57,40.1,12.25
Somalia,13.9,5.37,37.8,16.63
Afghanistan,48,23.06,36,20.34
Guinea,39.4,-3.06,35.9,15.48
Sierra Leone,83.7,0,31.4,23.03
Burkina Faso,50.7,0,26.6,15.6
Niger,9.9,-0.67,17.6,20.91
Gaza Strip,3968.8,1.6,,3.8
Solomon Islands,19.4,0,,3.92
West Bank,419.9,2.98,,3.92
Virgin Islands,56.9,-8.94,,6.43
Nauru,632.7,0,,6.7
Tuvalu,454.2,0,,7.11
Mayotte,538.1,6.78,,7.7
Greenland,0,-8.37,,7.84
Kiribati,130,0,,8.26
Bosnia and Herzegovina,88,0.31,96.99,8.27
Faroe Islands,33.8,1.41,,8.7
North Macedonia,80.9,-1.45,97.8,8.77
Jersey,785.2,2.76,,9.28
Gibraltar,3989.7,0,,9.31
Slovakia,111.4,0.3,99.6,9.45
Guernsey,838.6,3.84,,10.01
Isle of Man,131.9,5.36,,11.19
Western Sahara,1,,,